Question,Focus (Drug),Question Type,Answer,Section Title,URL
does cyclosporine ophthalmic helps for iritis?,cyclosporine,Indication,This study showed improvement of recurrent anterior uveitis [iritis] in patients while on conventional treatment with cyclosporine A 0.05% compared with conventional treatment alone.,Abstract,https://bjo.bmj.com/content/100/3/345
what ingredient in walnut interferes with synthroid drug absorption,Synthroid,Interaction,"Dietary fiber: Certain dietary fiber sources can impede absorption of the thyroid hormone replacement medication. Mayo Clinic staff say it is best to avoid dietary fiber in foods like walnuts, soy products, iron supplements and multivitamins containing iron.",,https://www.livestrong.com/article/40509-foods-avoid-taking-thyroid-medication/
what is the color of the fluvaastatin pill,fluvastatin,Appearance,Product Characteristics   Color RED (rust),INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4226222a-7729-42aa-8dff-887491a5dab7
"is penicillin in the pill ""montelukast?""",montelukast,Ingredient,"What are the ingredients in montelukast sodium tablets?

Active ingredient: montelukast sodium, USP

Inactive ingredients:

10 mg tablet: croscarmellose sodium, hydroxypropyl cellulose, lactose monohydrate, magnesium stearate, and microcrystalline cellulose. The film coating contains: black iron oxide, hydroxypropyl cellulose, hypromellose, red iron oxide, titanium dioxide, and yellow iron oxide.",PATIENT INFORMATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ccbbf0d6-efd9-4fdd-9e7b-e3d293062609
"can i take metamucil with ""ciprofloxacin?""",ciprofloxacin,Interaction,"diarrhea is a common problem caused by antibiotics which usually ends when the antibiotic is discontinued. Sometimes after starting treatment with antibiotics, patients can develop watery and bloody stools (with or without stomach cramps and fever) even as late as two or more months after having taken the last dose of the antibiotic. If this occurs, patients should contact their physician as soon as possible. ",PRECAUTIONS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d54a97d5-3664-4ca5-bffd-8366c7255b73
how long before a meal should lansoprazole be taken,Lansoprazole,Usage,Swallow 1 capsule with a glass of water before eating in the morning.,CONSUMER INFORMATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9cf54748-80da-428d-86f1-2a17f1160bc2
what does using fluorouracil make your face look like,fluorouracil,Side effects,"The most frequent adverse reactions to Fluorouracil 5% Topical Cream occur locally and are often related to an extension of the pharmacological activity of the drug. These include burning, crusting, allergic contact dermatitis, erosions, erythema, hyperpigmentation, irritation, pain, photosensitivity, pruritus, scarring, rash, soreness and ulceration.",ADVERSE REACTIONS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=744737c5-0d96-4214-82ab-6cff016b1ea0
why did my doctor give me level iracetam,Levetiracetam,Indication,Levetiracetam is used in combination with other medications to treat certain types of seizures in adults and children with epilepsy. Levetiracetam is in a class of medications called anticonvulsants. It works by decreasing abnormal excitement in the brain.,Why is this medication prescribed?,https://medlineplus.gov/druginfo/meds/a699059.html
results of stopping terazosin?,terazosin,Usage,"The effect of withdrawal of terazosin therapy in patients with mild to moderate hypertension was assessed in two double-blind, placebo-controlled studies. All patients had demonstrated a stable blood pressure response to terazosin prior to withdrawal of the drug. Patients were randomly assigned either to continue treatment with terazosin at a previously established dose that had brought blood pressure under control (dose range: 1 to 40 mg daily) or to receive a matching placebo. At the end of a six- or eight-week withdrawal period, placebo-treated patients experienced mean increases of 7.3 and 12.4 mm Hg in supine diastolic blood pressure (studies M81-020 and M81-028 site 1, respectively). These increases were significantly greater than those observed for patients who continued to receive terazosin. Similar results were observed in other blood pressure variables. Withdrawal of terazosin was accompanied by a significant weight loss (2.8 and 3.6 pounds in studies M81-020 and M81-028, respectively). There were no clinically significant changes in pulse rates, physical examinations, laboratory test results, or electrocardiograms. Headache was the most common adverse experience reported by those who received placebo during the drug withdrawal period. These studies demonstrate that withdrawal of terazosin therapy is associated with an increase in supine diastolic blood pressure, often to hypertensive levels, without signs of a withdrawal syndrome.",Abstract,https://www.ncbi.nlm.nih.gov/pubmed/2872805
what meloxicam look like,meloxicam,Appearance,Product Characteristics Color YELLOW (light yellow) Score no score Shape OVAL Size 3mm Imprint Code S160,INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6513e46b-3229-685b-c83b-2209454fae71
nitroglycerin how often,nitroglycerin,Usage,"One tablet should be dissolved under the tongue or in the buccal pouch at the first sign of an acute anginal attack. The dose may be repeated approximately every 5 minutes until relief is obtained. If the pain persists after a total of 3 tablets in a 15-minute period, or if the pain is different than is typically experienced, prompt medical attention is recommended. Nitroglycerin may be used prophylactically 5 to 10 minutes prior to engaging in activities that might precipitate an acute attack.",DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c555f8de-477f-0225-98a2-baf8945bbd63
whate is vitamin c chemicl symple ?,vitamin C,Information,Active Ingredient/Active Moiety ... ASCORBIC ACID ...,INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b22c2ad8-0d4a-4b78-8d6e-dc917a777ab6
what is the maximum dose of pregabalin,pregabalin,Dose,"In view of the dose-dependent adverse reactions, treatment with doses above 300 mg/day is not recommended",DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=54e6d137-a495-4b87-b3c2-2f5a0226dd3e
how long does marijuana it stay in system,marijuana,Action/time,"The effects of marijuana usually last from 1 to 3 hours, but marijuana can stay in the body for days or even weeks after use. Organs in the body have fatty tissues that absorb the THC in marijuana. In general, standard urine tests can detect THC several days after use. In people who use heavily, however, urine tests can sometimes detect THC for several weeks.",How long after use can marijuana show up on a drug test?,https://www.drugabuse.gov/publications/marijuana-facts-teens/want-to-know-more-some-faqs-about-marijuana
neupro and ropinirole when is it safe to take,neupro and ropinirole,Interaction,"Anxiolytics; Sedatives; and Hypnotics: (Moderate) A reduction in the dose of anxiolytics, sedatives, hypnotics and concomitantly administered dopamine agonists with sedative properties (e.g., ropinirole, pramipexole, rotigotine, apomorphine) should be considered to minimize additive sedative effects. In addition, the risk of next-day psychomotor impairment is increased during co-administration, which may decrease the ability to perform tasks requiring full mental alertness such as driving.",DRUG INTERACTIONS,https://www.pdr.net/drug-summary/Neupro-rotigotine-2468
neupro and ropinirole when is it safe to take,neupro and ropinirole,Comparison,"Switching from oral dopamine agonists to rotigotine: An open-label study of 99 subjects with Parkinson’s disease was conducted in which the subjects, previously treated with 3 to 12mg/day ropinirole with or without levodopa, were converted to treatment with transdermal rotigotine. The following dosage conversion was utilized; 3mg/day ropinirole to 2mg/24 hours rotigotine, 6mg/day ropinirole to 4mg/24 hours rotigotine, 8-9mg/day ropinirole to 6mg/24 hours rotigotine, 12mg/day ropinirole to 8mg/24 hours rotigotine. Patients were instructed to take their last dose of ropinirole in the afternoon or evening, applying a rotigotine patch the next morning upon awakening. Overall this study determined that an overnight switch from ropinirole to rotigotine was generally well tolerated without loss of efficacy.",Dosage and Administration,https://www.pbm.va.gov/clinicalguidance/drugmonographs/RotigotineNeuproNMEMonograph.pdf
what is prevnar >65,prevnar,Information,The pneumococcal conjugate vaccine (PCV13 or Prevnar 13®) protects against 13 types of pneumococcal bacteria. CDC recommends PCV13 for use in infants and young children and adults 65 years or older.,"PCV13 for Infants, Children, and Adults",https://www.cdc.gov/pneumococcal/vaccination.html
how many mg does it take to overdose on oxycodone,oxycodone,Overdose,"OXYCODONE HCl CONTROLLED-RELEASE 80 mg and 160 mg Tablets, or a single dose greater than 40 mg, ARE FOR USE IN OPIOID-TOLERANT PATIENTS ONLY. A single dose greater than 40 mg, or total daily doses greater than 80 mg, may cause fatal respiratory depression when administered to patients who are not tolerant to the respiratory depressant effects of opioids.",BOXED WARNING,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f06d3690-3fd4-407d-8f8d-ab0c354e61bd
what medication not to take with lithium,lithium,Interaction,What special precautions should I follow?,What special precautions should I follow?,https://medlineplus.gov/druginfo/meds/a681039.html
mst drug/?,MST,Information,"MST®Continus® 5 mg, 10 mg, 15 mg, 30 mg, 60 mg, 100 mg and 200 mg prolonged release tablets: Morphine sulfate",,https://www.medicines.org.uk/emc/files/pil.1014.pdf
what size doses of metformin are available?,metformin,Dose,"Metformin Hydrochloride Tablets, USP ... 500 mg ... 850 mg ... 1000 mg",HOW SUPPLIED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2d98aea3-35ba-447a-b88f-a5a20b612b2f
"pravastatin s9 orange how many ""grams?""",pravastatin,Dose,No answers,,
how long morphine remains in body,morphine,Action/time,"Morphine takes longer to work than heroin and the effects tend to last longer. Despite this, blood tests can only detect morphine for the first 12 hours after the last dose, and urine tests only work for up to 3 days. However, saliva tests are more effective, being able to detect traces of morphine for up to 4 days. Again, morphine stays in the hair for 90 days.",,https://americanaddictioncenters.org/prescription-drugs/how-long-in-system/
"what is the imprint on metoprolol succ., 50 mg",metoprolol succinate,Appearance,"50 mg tablets: White, round, coated tablets debossed with Andrx logo and “831” on one side and scored on the other side.",DOSAGE FORMS AND STRENGTHS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ff391fc7-a0ab-4f8c-927e-2588053c7021
what can take the place of tramadol,tramadol,Alternatives,"The American Academy of Pediatrics (AAP) and other pediatric associations and academies have released guidelines on the management of nociceptive pain in children. The top 3 medications’ recommendations in children are paracetamol, ibuprofen, and opioids: non-opioids for mild nociceptive pain; non-opioids + weak opioids for moderate nociceptive pain and non-opioids + strong opioids for severe nociceptive pain. Codeine and tramadol are the only two opioids classified as weak opioids. In most countries, they do not require a restricted medical drug prescription and as “weak” opioids, they are often considered to have a lower potential for adverse drug reactions (ADR) than “strong” opioids.",When the Safe Alternative Is Not That Safe: Tramadol Prescribing in Children,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5844975/
how to administer denosumab,denosumab,Usage,"Denosumab injection comes as a solution (liquid) to be injected subcutaneously (under the skin) in your upper arm, upper thigh, or stomach area. It is usually injected by a doctor or nurse in a medical office or clinic. Denosumab injection (Prolia) is usually given once every 6 months. When denosumab injection (Xgeva) is used to reduce the risk of fractures from multiple myeloma, or cancer that has spread to the bones, it is usually given once every 4 weeks. When denosumab injection (Xgeva) is used to treat giant cell tumor of bone, or high calcium levels caused by cancer, it is usually given every 7 days for the first three doses (on day 1, day 8, and day 15) and then once every 4 weeks starting 2 weeks after the first three doses.

Your doctor will tell you to take supplements of calcium and vitamin D while you are being treated with denosumab injection. Take these supplements exactly as directed.

When denosumab injection (Prolia) is used to treat osteoporosis or bone loss, your doctor or pharmacist will give you the manufacturer's patient information sheet (Medication Guide) when you begin treatment with denosumab injection and each time you refill your prescription. Read the information carefully and ask your doctor or pharmacist if you have any questions. You can also visit the Food and Drug Administration (FDA) website (http://www.fda.gov/Drugs/DrugSafety/ucm085729.htm) or the manufacturer's website to obtain the Medication Guide.",How should this medicine be used?,https://medlineplus.gov/druginfo/meds/a610023.html
what is barbiturates,barbiturates,Information,"Barbiturates are sedative-hypnotic drugs that were once commonly used as sedatives or antianxiety medications. A physician must prescribe barbiturates; otherwise, their use is considered illicit. Among their limited uses, barbiturates are used to manage some seizure disorders as well as for pre-procedural sedation. In rarer instances, they are prescribed for the treatment of headache, anxiety and insomnia. However, their use in most areas of medicine has largely been supplanted by other safer medications. Barbiturates are controlled substances due to the potential they pose for abuse, physical dependence, and addiction. Some of the more common barbiturates include     Luminal (phenobarbital).     Brevital (methohexital).     Seconal (secobarbital).     Butisol (butabarbital).     Fiorinal (butalbital).",,https://drugabuse.com/library/barbiturate-abuse/
what are the inactive ingredients to the pneumonia vaccine,pneumonia vaccine,Ingredient,Inactive Ingredients POLYSORBATE 80 … ALUMINUM PHOSPHATE,INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5d49181b-b974-a5da-3b38-12a3a87bb96b
how to prep and administer insulin,insulin,Usage,"Humulin R U-100 may be administered by subcutaneous injection in the abdominal wall, the thigh, the gluteal region or in the upper arm. Subcutaneous injection into the abdominal wall ensures a faster absorption than from other injection sites. Injection into a lifted skin fold minimizes the risk of intramuscular injection. Injection sites should be rotated within the same region. As with all insulin, the duration of action will vary according to the dose, injection site, blood flow, temperature, and level of physical activity. Intravenous administration of Humulin R U-100 is possible under medical supervision with close monitoring of blood glucose and potassium levels to avoid hypoglycemia and hypokalemia. For intravenous use, Humulin R U-100 should be used at concentrations from 0.1 unit/mL to 1 unit/mL in infusion systems with the infusion fluids 0.9% sodium chloride using polyvinyl chloride infusion bags.",DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b519bd83-038c-4ec5-a231-a51ec5cc291f
what is medical marijuana,medical marijuana,Information,"Some states have approved ""medical marijuana"" to ease symptoms of various health problems. The U.S. Food and Drug Administration (FDA) has not approved the marijuana plant as a medicine. However, there have been scientific studies of cannabinoids, the chemicals in marijuana. This has led to two FDA-approved medicines. They contain THC, the active ingredient in marijuana. They treat nausea caused by chemotherapy and increase appetite in patients who have severe weight loss from HIV/AIDS. Scientists are doing more research with marijuana and its ingredients to treat many diseases and conditions.",Summary,https://medlineplus.gov/marijuana.html
"clonazepam "".25mg"" lowest dosage?",clonazepam,Dose,"Klonopin Wafers (clonazepam orally disintegrating tablets) are white, round and debossed with the tablet strength … 0.125 mg  debossed 1/8 …",HOW SUPPLIED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=79a3305b-be80-416f-a346-5a907f7b669e
levaquin treat uti?,Levaquin,Indication,... Complicated Urinary Tract Infections: ... Acute Pyelonephritis: ... Uncomplicated Urinary Tract Infections,INDICATIONS AND USAGE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a1f01e8e-97e9-11de-b91d-553856d89593
"vitamin d 25, totalhow much to takea day",vitamin D,Dose,"Currently, there’s scientific debate about how much vitamin D people need each day. The Institute of Medicine, in a long-awaited report released on November 30, 2010 recommends tripling the daily vitamin D intake for children and adults in the U.S. and Canada, to 600 IU per day. (7) The report also recognized the safety of vitamin D by increasing the upper limit from 2,000 to 4,000 IU per day, and acknowledged that even at 4,000 IU per day, there was no good evidence of harm. The new guidelines, however, are overly conservative about the recommended intake, and they do not give enough weight to some of the latest science on vitamin D and health. For bone health and chronic disease prevention, many people are likely to need more vitamin D than even these new government guidelines recommend.",,https://www.hsph.harvard.edu/nutritionsource/what-should-you-eat/vitamins/vitamin-d/
sickness in humans caused formaldehyde on toys from china?,formaldehyde,Side effects,"The Uphill Battle to Better Regulate Formaldehyde ... Safety advocates say that tighter restrictions ... are necessary, particularly for products coming from China, where items as varied as toys and Christmas lights have been found to violate American safety standards.",,https://www.nytimes.com/2015/05/04/business/energy-environment/the-uphill-battle-to-better-regulate-formaldehyde.html
is cyclobenzaprine a benzodiazepine?,cyclobenzaprine | benzodiazepine,Information,"Cyclobenzaprine is in a class of medications called skeletal muscle relaxants. It works by acting in the brain and nervous system to allow the muscles to relax. …............ Benzodiazepines (sometimes called ""benzos"") work to calm or sedate a person, by raising the level of the inhibitory neurotransmitter GABA in the brain. Common benzodiazepines include diazepam (Valium), alprazolam (Xanax), and clonazepam (Klonopin), among others.",Why is this medication prescribed? | https://www.drugabuse.gov/drugs-abuse/opioids/benzodiazepines-opioids,https://medlineplus.gov/druginfo/meds/a682514.html | Benzodiazepines and Opioids
what does vitamin d3 do,vitamin D3,Action,"Vitamin D helps your body absorb calcium. Calcium is one of the main building blocks of bone. A lack of vitamin D can lead to bone diseases such as osteoporosis or rickets. Vitamin D also has a role in your nerve, muscle, and immune systems.",Summary,https://medlineplus.gov/vitamind.html
what drugs contain in estrone injection,estrone injection,Ingredient,"Estrone, sold under the brand names Estragyn, Kestrin, and Theelin among many others, is an estrogen medication and naturally occurring steroid hormone which has been used in menopausal hormone therapy and for other indications.[5][8][9][10][1][2] It has been available as an aqueous suspension or oil solution that is given by injection into muscle and as a vaginal cream that is applied inside of the vagina.[1][2][3][4] It can also be taken by mouth in the form of estrone sulfate, as in estropipate (piperazine estrone sulfate; Ogen) and conjugated estrogens (Premarin).[11][2][5]",,https://en.wikipedia.org/wiki/Estrone_(medication)
can i eat after taking rapaflo?,Rapaflo,Usage,The recommended dose is 8 mg orally once daily with a meal.,DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a21163d6-e1b9-4490-bce3-751e0823797c
how much levothyroxine is needed to treat hashimotos,levothyroxine,Dose,"If  Hashimoto's disease causes thyroid hormone deficiency, you may need replacement therapy with thyroid hormone. This usually involves daily use of the synthetic thyroid hormone levothyroxine (Levoxyl, Synthroid, others). ... Treatment with levothyroxine is usually lifelong, but because the dosage you need may change, your doctor is likely to check your TSH level about every 12 months.",Treatment,https://www.mayoclinic.org/diseases-conditions/hashimotos-disease/diagnosis-treatment/drc-20351860
can i take tea with azithromycin?,azithromycin,Interaction,"tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: anticoagulants ('blood thinners') such as warfarin (Coumadin, Jantoven); cyclosporine (Neoral, Sandimmune); digoxin (Lanoxin); dihydroergotamine (D.H.E. 45, Migranal); ergotamine (Ergomar); medications for irregular heartbeat such as amiodarone (Cordarone, Pacerone), dofetilide (Tikosyn), procainamide (Procanbid), quinidine, and sotalol (Betapace, Sorine); nelfinavir (Viracept); phenytoin (Dilantin); and terfenadine (not available in the U.S.). Your doctor may need to change the doses of your medications or monitor you carefully for side effects.
if you are taking antacids containing aluminum hydroxide or magnesium hydroxide (Maalox, Mylanta, Tums, others), you will need to allow some time to pass between when you take a dose of these antacids and when you take a dose of azithromycin tablets or liquid. Ask your doctor or pharmacist how many hours before or after you take azithromycin you may take these medications. The extended-release suspension may be taken at any time with antacids.",What special precautions should I follow,https://medlineplus.gov/druginfo/meds/a697037.html
vyvanse 10 what is all in this pill is it safe,Vyvanse,Ingredient,"Active Ingredient/Active Moiety LISDEXAMFETAMINE DIMESYLATE (UNII: SJT761GEGS) (LISDEXAMFETAMINE - UNII:H645GUL8KJ) LISDEXAMFETAMINE DIMESYLATE 10 mg Inactive Ingredients MICROCRYSTALLINE CELLULOSE (UNII: OP1R32D61U) CROSCARMELLOSE SODIUM (UNII: M28OL1HH48) MAGNESIUM STEARATE (UNII: 70097M6I30) GELATIN, UNSPECIFIED (UNII: 2G86QN327L) TITANIUM DIOXIDE (UNII: 15FIX9V2JP) FD&C BLUE NO. 1 (UNII: H3R47K3TBD) FERROSOFERRIC OXIDE (UNII: XM0M87F357) FERRIC OXIDE YELLOW (UNII: EX438O2MRT) FD&C RED NO. 3 (UNII: PN2ZH5LOQY) FD&C YELLOW NO. 6",INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=704e4378-ca83-445c-8b45-3cfa51c1ecad
vyvanse 10 what is all in this pill is it safe,Vyvanse,Side effects,"The following adverse reactions are discussed in greater detail in other sections of the labeling:

Known hypersensitivity to amphetamine products or other ingredients of VYVANSE [see CONTRAINDICATIONS (4)]
Hypertensive Crisis When Used Concomitantly with Monoamine Oxidase Inhibitors [see CONTRAINDICATIONS (4) and DRUG INTERACTIONS (7.1)]
Drug Dependence [see BOXED WARNING, WARNINGS AND PRECAUTIONS (5.1), and DRUG ABUSE AND DEPENDENCE (9.2, 9.3)]
Serious Cardiovascular Reactions [see WARNINGS AND PRECAUTIONS (5.2)]
Blood Pressure and Heart Rate Increases [see WARNINGS AND PRECAUTIONS (5.3)]
Psychiatric Adverse Reactions [see WARNINGS AND PRECAUTIONS (5.4)]
Suppression of Growth [see WARNINGS AND PRECAUTIONS (5.5)]
Peripheral Vasculopathy, including Raynaud's phenomenon [see WARNINGS AND PRECAUTIONS (5.6)]
Serotonin Syndrome [see WARNINGS AND PRECAUTIONS (5.7)]",ADVERSE REACTIONS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=704e4378-ca83-445c-8b45-3cfa51c1ecad
what is a high level of troop,TrOOP,not_drug_question,"TrOOP costs are those prescription costs that can be used to calculate when you exit the Donut Hole or Coverage Gap and enter the Catastrophic Coverage stage of your Medicare Part D Coverage. The 2019 plan year Out-of-Pocket Threshold or maximum TrOOP before exiting the Donut Hole is $5,100.00.",,https://q1medicare.com/PartD-WhatIs-TheTrueOutOfPocketExpense.php
what is in flomax,Flomax,Ingredient,Active Ingredient/Active Moiety TAMSULOSIN HYDROCHLORIDE (UNII: 11SV1951MR) (tamsulosin - UNII:G3P28OML5I)  TAMSULOSIN HYDROCHLORIDE  0.4 mg,INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c00d5f7b-dad7-4479-aae2-fea7c0db40ed
what is the class for insulin glargine?,insulin glargine,Information,DEA Schedule: None,,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0ad21db3-2b1c-4ed9-a687-bdd6a74d0aae
what medicines raise blood sugar,medicines that raise blood sugar,Action,"Some medicines for conditions other than diabetes can raise your blood sugar level. This is a concern when you have diabetes. Make sure every doctor you see knows about all of the medicines, vitamins, or herbal supplements you take. This means anything you take with or without a prescription.

Examples include:

Barbiturates.
Thiazide diuretics.
Corticosteroids.
Birth control pills (oral contraceptives) and progesterone.
Catecholamines.
Decongestants that contain beta-adrenergic agents, such as pseudoephedrine.
The B vitamin niacin. The risk of high blood sugar from niacin lowers after you have taken it for a few months.
The antipsychotic medicine olanzapine (Zyprexa).",Non-Diabetes Medicines That May Raise Blood Sugar,https://www.uwhealth.org/health/topic/special/non-diabetes-medicines-that-may-raise-blood-sugar/aa125174.html
what is metopol tar use,metoprolol tartrate,Indication,"Hypertension Metoprolol tartrate tablets are indicated for the treatment of hypertension. They may be used alone or in combination with other antihypertensive agents.  Angina Pectoris  Metoprolol tartrate tablets are indicated in the long-term treatment of angina pectoris.  Myocardial Infarction  Metoprolol tartrate tablets are indicated in the treatment of hemodynamically stable patients with definite or suspected acute myocardial infarction to reduce cardiovascular mortality. Treatment with intravenous metoprolol can be initiated as soon as the patient's clinical condition allows (see DOSAGE AND ADMINISTRATION, CONTRAINDICATIONS, and WARNINGS ). Alternatively, treatment can begin within 3 to 10 days of the acute event (see DOSAGE AND ADMINISTRATION).",INDICATIONS AND USAGE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=88f1abdc-f53e-4ff9-b4c1-3cfbc2609b79
